Request id,Pickup point,Driver id,Status,Request Date & Time,Drop Date & Time,Request Date,Request Time,Drop Date,Drop Time,Request Hour,Time Slot,Trip Completed
3774,Airport,9,Trip Completed,13/07/2016 20:41:24,13/07/2016 21:27:29,13/07/2016,20:41:24,13/07/2016,21:27:29,20,Evening,Yes
4023,City,9,Trip Completed,13/07/2016 23:58:41,14/07/2016 00:58:39,13/07/2016,23:58:41,14/07/2016,0:58:39,23,Evening,Yes
4117,City,9,Trip Completed,14/07/2016 04:21:42,14/07/2016 05:07:07,14/07/2016,4:21:42,14/07/2016,5:07:07,4,Late Night,Yes
4880,Airport,9,Trip Completed,14/07/2016 17:58:46,14/07/2016 19:02:42,14/07/2016,17:58:46,14/07/2016,19:02:42,17,Evening,Yes
5568,Airport,9,Trip Completed,15/07/2016 05:47:49,15/07/2016 06:25:49,15/07/2016,5:47:49,15/07/2016,6:25:49,5,Morning,Yes
5994,Airport,9,Trip Completed,15/07/2016 11:51:16,15/07/2016 12:32:12,15/07/2016,11:51:16,15/07/2016,12:32:12,11,Day,Yes
1809,Airport,10,Trip Completed,07/12/2016 09:13:00,07/12/2016 10:01:00,12/7/2016,9:13:00,12/7/2016,10:01:00,9,Morning,Yes
2064,Airport,10,Trip Completed,07/12/2016 15:08:00,07/12/2016 16:14:00,12/7/2016,15:08:00,12/7/2016,16:14:00,15,Day,Yes
3210,City,10,Trip Completed,13/07/2016 09:47:06,13/07/2016 10:52:37,13/07/2016,9:47:06,13/07/2016,10:52:37,9,Morning,Yes
4350,City,10,Trip Completed,14/07/2016 07:24:43,14/07/2016 08:22:09,14/07/2016,7:24:43,14/07/2016,8:22:09,7,Morning,Yes
4713,City,10,Trip Completed,14/07/2016 13:31:24,14/07/2016 14:10:56,14/07/2016,13:31:24,14/07/2016,14:10:56,13,Day,Yes
5629,Airport,10,Trip Completed,15/07/2016 06:33:00,15/07/2016 07:19:53,15/07/2016,6:33:00,15/07/2016,7:19:53,6,Morning,Yes
6157,Airport,10,Trip Completed,15/07/2016 16:32:51,15/07/2016 17:44:44,15/07/2016,16:32:51,15/07/2016,17:44:44,16,Day,Yes
2030,City,11,Trip Completed,07/12/2016 14:11:00,07/12/2016 15:02:00,12/7/2016,14:11:00,12/7/2016,15:02:00,14,Day,Yes
3226,City,11,Trip Completed,13/07/2016 10:00:17,13/07/2016 11:02:52,13/07/2016,10:00:17,13/07/2016,11:02:52,10,Day,Yes
3353,City,11,Trip Completed,13/07/2016 13:29:44,13/07/2016 14:09:00,13/07/2016,13:29:44,13/07/2016,14:09:00,13,Day,Yes
4293,City,11,Trip Completed,14/07/2016 06:42:36,14/07/2016 07:12:41,14/07/2016,6:42:36,14/07/2016,7:12:41,6,Morning,Yes
4936,City,11,Trip Completed,14/07/2016 18:22:17,14/07/2016 19:14:36,14/07/2016,18:22:17,14/07/2016,19:14:36,18,Evening,Yes
5661,Airport,11,Trip Completed,15/07/2016 07:08:50,15/07/2016 07:59:00,15/07/2016,7:08:50,15/07/2016,7:59:00,7,Morning,Yes
5778,City,11,Trip Completed,15/07/2016 08:22:03,15/07/2016 09:13:04,15/07/2016,8:22:03,15/07/2016,9:13:04,8,Morning,Yes
6425,Airport,11,Trip Completed,15/07/2016 19:46:40,15/07/2016 20:26:51,15/07/2016,19:46:40,15/07/2016,20:26:51,19,Evening,Yes
45,Airport,12,Trip Completed,07/11/2016 03:17:00,07/11/2016 04:09:00,11/7/2016,3:17:00,11/7/2016,4:09:00,3,Late Night,Yes
264,City,12,Trip Completed,07/11/2016 06:51:00,07/11/2016 07:40:00,11/7/2016,6:51:00,11/7/2016,7:40:00,6,Morning,Yes
1183,City,12,Trip Completed,07/11/2016 21:05:00,07/11/2016 21:38:00,11/7/2016,21:05:00,11/7/2016,21:38:00,21,Evening,Yes
1536,Airport,12,Trip Completed,07/12/2016 05:59:00,07/12/2016 06:59:00,12/7/2016,5:59:00,12/7/2016,6:59:00,5,Morning,Yes
2437,City,12,Trip Completed,07/12/2016 20:18:00,07/12/2016 21:26:00,12/7/2016,20:18:00,12/7/2016,21:26:00,20,Evening,Yes
2641,Airport,12,Trip Completed,07/12/2016 22:28:00,07/12/2016 23:05:00,12/7/2016,22:28:00,12/7/2016,23:05:00,22,Evening,Yes
4077,Airport,12,Trip Completed,14/07/2016 02:14:15,14/07/2016 03:13:09,14/07/2016,2:14:15,14/07/2016,3:13:09,2,Late Night,Yes
4610,City,12,Trip Completed,14/07/2016 10:35:14,14/07/2016 11:39:01,14/07/2016,10:35:14,14/07/2016,11:39:01,10,Day,Yes
5066,Airport,12,Trip Completed,14/07/2016 19:31:20,14/07/2016 20:14:03,14/07/2016,19:31:20,14/07/2016,20:14:03,19,Evening,Yes
5666,Airport,12,Trip Completed,15/07/2016 07:04:55,15/07/2016 08:12:37,15/07/2016,7:04:55,15/07/2016,8:12:37,7,Morning,Yes
5923,City,12,Trip Completed,15/07/2016 10:07:49,15/07/2016 10:50:50,15/07/2016,10:07:49,15/07/2016,10:50:50,10,Day,Yes
6367,City,12,Trip Completed,15/07/2016 19:04:46,15/07/2016 19:46:04,15/07/2016,19:04:46,15/07/2016,19:46:04,19,Evening,Yes
155,City,13,Trip Completed,07/11/2016 05:32:00,07/11/2016 06:28:00,11/7/2016,5:32:00,11/7/2016,6:28:00,5,Morning,Yes
310,Airport,13,Trip Completed,07/11/2016 07:24:00,07/11/2016 08:28:00,11/7/2016,7:24:00,11/7/2016,8:28:00,7,Morning,Yes
607,City,13,Trip Completed,07/11/2016 11:51:00,07/11/2016 12:42:00,11/7/2016,11:51:00,11/7/2016,12:42:00,11,Day,Yes
1012,City,13,Trip Completed,07/11/2016 19:15:00,07/11/2016 19:57:00,11/7/2016,19:15:00,11/7/2016,19:57:00,19,Evening,Yes
1696,Airport,13,Trip Completed,07/12/2016 08:01:00,07/12/2016 08:42:00,12/7/2016,8:01:00,12/7/2016,8:42:00,8,Morning,Yes
3076,City,13,Trip Completed,13/07/2016 08:09:04,13/07/2016 09:12:19,13/07/2016,8:09:04,13/07/2016,9:12:19,8,Morning,Yes
4198,Airport,13,Trip Completed,14/07/2016 05:32:14,14/07/2016 06:45:32,14/07/2016,5:32:14,14/07/2016,6:45:32,5,Morning,Yes
4627,City,13,Trip Completed,14/07/2016 11:13:19,14/07/2016 12:00:12,14/07/2016,11:13:19,14/07/2016,12:00:12,11,Day,Yes
5289,City,13,Trip Completed,14/07/2016 21:43:24,14/07/2016 22:24:13,14/07/2016,21:43:24,14/07/2016,22:24:13,21,Evening,Yes
5495,Airport,13,Trip Completed,15/07/2016 05:00:13,15/07/2016 06:02:27,15/07/2016,5:00:13,15/07/2016,6:02:27,5,Morning,Yes
6656,Airport,13,Trip Completed,15/07/2016 22:08:42,15/07/2016 22:41:18,15/07/2016,22:08:42,15/07/2016,22:41:18,22,Evening,Yes
139,Airport,14,Trip Completed,07/11/2016 05:21:00,07/11/2016 06:09:00,11/7/2016,5:21:00,11/7/2016,6:09:00,5,Morning,Yes
215,City,14,Trip Completed,07/11/2016 06:15:00,07/11/2016 07:07:00,11/7/2016,6:15:00,11/7/2016,7:07:00,6,Morning,Yes
1816,City,14,Trip Completed,07/12/2016 09:24:00,07/12/2016 10:07:00,12/7/2016,9:24:00,12/7/2016,10:07:00,9,Morning,Yes
2505,Airport,14,Trip Completed,07/12/2016 21:03:00,07/12/2016 22:14:00,12/7/2016,21:03:00,12/7/2016,22:14:00,21,Evening,Yes
3346,City,14,Trip Completed,13/07/2016 13:01:42,13/07/2016 13:55:59,13/07/2016,13:01:42,13/07/2016,13:55:59,13,Day,Yes
5294,City,14,Trip Completed,14/07/2016 21:45:50,14/07/2016 22:16:40,14/07/2016,21:45:50,14/07/2016,22:16:40,21,Evening,Yes
6226,Airport,14,Trip Completed,15/07/2016 17:34:25,15/07/2016 18:33:13,15/07/2016,17:34:25,15/07/2016,18:33:13,17,Evening,Yes
6733,Airport,14,Trip Completed,15/07/2016 23:32:44,16/07/2016 00:37:46,15/07/2016,23:32:44,16/07/2016,0:37:46,23,Evening,Yes
1027,Airport,15,Trip Completed,07/11/2016 19:18:00,07/11/2016 20:24:00,11/7/2016,19:18:00,11/7/2016,20:24:00,19,Evening,Yes
2675,Airport,15,Trip Completed,07/12/2016 23:43:00,13/07/2016 00:35:12,12/7/2016,23:43:00,13/07/2016,0:35:12,23,Evening,Yes
3200,City,15,Trip Completed,13/07/2016 09:39:44,13/07/2016 10:30:58,13/07/2016,9:39:44,13/07/2016,10:30:58,9,Morning,Yes
3865,City,15,Trip Completed,13/07/2016 21:52:05,13/07/2016 22:21:15,13/07/2016,21:52:05,13/07/2016,22:21:15,21,Evening,Yes
4468,City,15,Trip Completed,14/07/2016 08:42:46,14/07/2016 09:22:01,14/07/2016,8:42:46,14/07/2016,9:22:01,8,Morning,Yes
5163,Airport,15,Trip Completed,14/07/2016 20:34:30,14/07/2016 21:05:18,14/07/2016,20:34:30,14/07/2016,21:05:18,20,Evening,Yes
6009,City,15,Trip Completed,15/07/2016 12:22:35,15/07/2016 13:25:27,15/07/2016,12:22:35,15/07/2016,13:25:27,12,Day,Yes
6448,Airport,15,Trip Completed,15/07/2016 20:02:54,15/07/2016 20:40:45,15/07/2016,20:02:54,15/07/2016,20:40:45,20,Evening,Yes
591,City,16,Trip Completed,07/11/2016 11:25:00,07/11/2016 12:31:00,11/7/2016,11:25:00,11/7/2016,12:31:00,11,Day,Yes
709,City,16,Trip Completed,07/11/2016 14:16:00,07/11/2016 15:03:00,11/7/2016,14:16:00,11/7/2016,15:03:00,14,Day,Yes
1167,Airport,16,Trip Completed,07/11/2016 20:50:00,07/11/2016 21:52:00,11/7/2016,20:50:00,11/7/2016,21:52:00,20,Evening,Yes
2661,Airport,16,Trip Completed,07/12/2016 23:23:00,13/07/2016 00:27:21,12/7/2016,23:23:00,13/07/2016,0:27:21,23,Evening,Yes
2808,City,16,Trip Completed,13/07/2016 05:05:16,13/07/2016 05:56:11,13/07/2016,5:05:16,13/07/2016,5:56:11,5,Morning,Yes
3258,Airport,16,Trip Completed,13/07/2016 10:12:51,13/07/2016 10:45:28,13/07/2016,10:12:51,13/07/2016,10:45:28,10,Day,Yes
3413,Airport,16,Trip Completed,13/07/2016 15:32:01,13/07/2016 16:45:44,13/07/2016,15:32:01,13/07/2016,16:45:44,15,Day,Yes
3939,Airport,16,Trip Completed,13/07/2016 22:26:26,13/07/2016 22:55:54,13/07/2016,22:26:26,13/07/2016,22:55:54,22,Evening,Yes
4125,City,16,Trip Completed,14/07/2016 04:37:11,14/07/2016 05:46:29,14/07/2016,4:37:11,14/07/2016,5:46:29,4,Late Night,Yes
4457,City,16,Trip Completed,14/07/2016 08:36:24,14/07/2016 09:19:20,14/07/2016,8:36:24,14/07/2016,9:19:20,8,Morning,Yes
4728,City,16,Trip Completed,14/07/2016 14:04:13,14/07/2016 15:06:40,14/07/2016,14:04:13,14/07/2016,15:06:40,14,Day,Yes
5347,Airport,16,Trip Completed,14/07/2016 22:51:47,14/07/2016 23:53:42,14/07/2016,22:51:47,14/07/2016,23:53:42,22,Evening,Yes
6147,City,16,Trip Completed,15/07/2016 16:11:02,15/07/2016 17:30:08,15/07/2016,16:11:02,15/07/2016,17:30:08,16,Day,Yes
6496,Airport,16,Trip Completed,15/07/2016 20:33:00,15/07/2016 21:32:49,15/07/2016,20:33:00,15/07/2016,21:32:49,20,Evening,Yes
634,City,17,Trip Completed,07/11/2016 12:25:00,07/11/2016 13:06:00,11/7/2016,12:25:00,11/7/2016,13:06:00,12,Day,Yes
939,Airport,17,Trip Completed,07/11/2016 18:25:00,07/11/2016 19:26:00,11/7/2016,18:25:00,11/7/2016,19:26:00,18,Evening,Yes
2628,Airport,17,Trip Completed,07/12/2016 22:10:00,07/12/2016 23:25:00,12/7/2016,22:10:00,12/7/2016,23:25:00,22,Evening,Yes
3021,City,17,Trip Completed,13/07/2016 07:33:20,13/07/2016 08:26:07,13/07/2016,7:33:20,13/07/2016,8:26:07,7,Morning,Yes
4743,City,17,Trip Completed,14/07/2016 14:54:16,14/07/2016 15:39:03,14/07/2016,14:54:16,14/07/2016,15:39:03,14,Day,Yes
4981,City,17,Trip Completed,14/07/2016 18:47:42,14/07/2016 19:43:44,14/07/2016,18:47:42,14/07/2016,19:43:44,18,Evening,Yes
5367,Airport,17,Trip Completed,14/07/2016 23:35:34,15/07/2016 00:25:26,14/07/2016,23:35:34,15/07/2016,0:25:26,23,Evening,Yes
5471,Airport,17,Trip Completed,15/07/2016 04:48:57,15/07/2016 05:47:13,15/07/2016,4:48:57,15/07/2016,5:47:13,4,Late Night,Yes
5988,Airport,17,Trip Completed,15/07/2016 11:48:32,15/07/2016 12:55:02,15/07/2016,11:48:32,15/07/2016,12:55:02,11,Day,Yes
6477,Airport,17,Trip Completed,15/07/2016 20:21:26,15/07/2016 21:00:31,15/07/2016,20:21:26,15/07/2016,21:00:31,20,Evening,Yes
499,City,18,Trip Completed,07/11/2016 09:39:00,07/11/2016 10:16:00,11/7/2016,9:39:00,11/7/2016,10:16:00,9,Morning,Yes
1147,Airport,18,Trip Completed,07/11/2016 20:42:00,07/11/2016 21:18:00,11/7/2016,20:42:00,11/7/2016,21:18:00,20,Evening,Yes
1410,Airport,18,Trip Completed,07/12/2016 03:14:00,07/12/2016 04:27:00,12/7/2016,3:14:00,12/7/2016,4:27:00,3,Late Night,Yes
1804,Airport,18,Trip Completed,07/12/2016 09:12:00,07/12/2016 09:57:00,12/7/2016,9:12:00,12/7/2016,9:57:00,9,Morning,Yes
1949,Airport,18,Trip Completed,07/12/2016 11:32:00,07/12/2016 12:13:00,12/7/2016,11:32:00,12/7/2016,12:13:00,11,Day,Yes
2713,City,18,Trip Completed,13/07/2016 01:46:42,13/07/2016 02:37:08,13/07/2016,1:46:42,13/07/2016,2:37:08,1,Late Night,Yes
2845,City,18,Trip Completed,13/07/2016 05:28:29,13/07/2016 06:10:40,13/07/2016,5:28:29,13/07/2016,6:10:40,5,Morning,Yes
3943,Airport,18,Trip Completed,13/07/2016 22:35:38,13/07/2016 23:33:20,13/07/2016,22:35:38,13/07/2016,23:33:20,22,Evening,Yes
4792,City,18,Trip Completed,14/07/2016 16:47:15,14/07/2016 17:34:39,14/07/2016,16:47:15,14/07/2016,17:34:39,16,Day,Yes
5207,Airport,18,Trip Completed,14/07/2016 20:57:41,14/07/2016 21:56:21,14/07/2016,20:57:41,14/07/2016,21:56:21,20,Evening,Yes
5890,City,18,Trip Completed,15/07/2016 09:43:57,15/07/2016 10:55:22,15/07/2016,9:43:57,15/07/2016,10:55:22,9,Morning,Yes
494,City,19,Trip Completed,07/11/2016 09:36:00,07/11/2016 10:02:00,11/7/2016,9:36:00,11/7/2016,10:02:00,9,Morning,Yes
1485,City,19,Trip Completed,07/12/2016 05:21:00,07/12/2016 06:35:00,12/7/2016,5:21:00,12/7/2016,6:35:00,5,Morning,Yes
2042,City,19,Trip Completed,07/12/2016 14:30:00,07/12/2016 15:09:00,12/7/2016,14:30:00,12/7/2016,15:09:00,14,Day,Yes
2561,Airport,19,Trip Completed,07/12/2016 21:29:00,07/12/2016 22:44:00,12/7/2016,21:29:00,12/7/2016,22:44:00,21,Evening,Yes
3813,Airport,19,Trip Completed,13/07/2016 21:06:57,13/07/2016 21:46:24,13/07/2016,21:06:57,13/07/2016,21:46:24,21,Evening,Yes
