Request_id,Pickup_point,Driver_id,Status,Request_DateTime,Drop_DateTime,Request_Date,Request_Time,Drop_Date,Drop_Time,Request_Hour,Time_Slot,Trip_Completed,
14,Airport,NA,No Cars Available,11/7/2016 1:10,NA,11/7/2016,1:10:00 AM,NA,NA,1,Late Night,No,
15,City,NA,No Cars Available,11/7/2016 1:15,NA,11/7/2016,1:15:00 AM,NA,NA,1,Late Night,No,
16,Airport,NA,No Cars Available,11/7/2016 1:09,NA,11/7/2016,1:09:00 AM,NA,NA,1,Late Night,No,
17,Airport,NA,No Cars Available,11/7/2016 1:16,NA,11/7/2016,1:16:00 AM,NA,NA,1,Late Night,No,
18,City,201,Cancelled,11/7/2016 1:16,NA,11/7/2016,1:16:00 AM,NA,NA,1,Late Night,No,
19,City,NA,No Cars Available,11/7/2016 1:14,NA,11/7/2016,1:14:00 AM,NA,NA,1,Late Night,No,
20,Airport,NA,No Cars Available,11/7/2016 1:23,NA,11/7/2016,1:23:00 AM,NA,NA,1,Late Night,No,
21,Airport,194,Trip Completed,11/7/2016 1:29,11/7/2016 2:05,11/7/2016,1:29:00 AM,11/7/2016,2:05:00 AM,1,Late Night,Yes,
22,Airport,NA,No Cars Available,11/7/2016 1:40,NA,11/7/2016,1:40:00 AM,NA,NA,1,Late Night,No,
23,City,NA,No Cars Available,11/7/2016 1:38,NA,11/7/2016,1:38:00 AM,NA,NA,1,Late Night,No,
24,Airport,NA,No Cars Available,11/7/2016 1:48,NA,11/7/2016,1:48:00 AM,NA,NA,1,Late Night,No,
25,Airport,NA,No Cars Available,11/7/2016 1:45,NA,11/7/2016,1:45:00 AM,NA,NA,1,Late Night,No,
26,Airport,NA,No Cars Available,11/7/2016 1:49,NA,11/7/2016,1:49:00 AM,NA,NA,1,Late Night,No,
27,Airport,NA,No Cars Available,11/7/2016 1:49,NA,11/7/2016,1:49:00 AM,NA,NA,1,Late Night,No,
28,City,NA,No Cars Available,11/7/2016 2:02,NA,11/7/2016,2:02:00 AM,NA,NA,2,Late Night,No,
29,City,NA,No Cars Available,11/7/2016 1:55,NA,11/7/2016,1:55:00 AM,NA,NA,1,Late Night,No,
30,Airport,297,Trip Completed,11/7/2016 2:04,11/7/2016 2:37,11/7/2016,2:04:00 AM,11/7/2016,2:37:00 AM,2,Late Night,Yes,
31,City,NA,No Cars Available,11/7/2016 2:10,NA,11/7/2016,2:10:00 AM,NA,NA,2,Late Night,No,
32,Airport,NA,No Cars Available,11/7/2016 2:15,NA,11/7/2016,2:15:00 AM,NA,NA,2,Late Night,No,
33,Airport,170,Trip Completed,11/7/2016 2:17,11/7/2016 3:31,11/7/2016,2:17:00 AM,11/7/2016,3:31:00 AM,2,Late Night,Yes,
34,City,78,Trip Completed,11/7/2016 2:20,11/7/2016 3:34,11/7/2016,2:20:00 AM,11/7/2016,3:34:00 AM,2,Late Night,Yes,
35,City,107,Trip Completed,11/7/2016 2:36,11/7/2016 3:03,11/7/2016,2:36:00 AM,11/7/2016,3:03:00 AM,2,Late Night,Yes,
36,City,NA,No Cars Available,11/7/2016 2:33,NA,11/7/2016,2:33:00 AM,NA,NA,2,Late Night,No,
37,Airport,NA,No Cars Available,11/7/2016 2:34,NA,11/7/2016,2:34:00 AM,NA,NA,2,Late Night,No,
38,City,NA,No Cars Available,11/7/2016 2:39,NA,11/7/2016,2:39:00 AM,NA,NA,2,Late Night,No,
39,Airport,NA,No Cars Available,11/7/2016 2:48,NA,11/7/2016,2:48:00 AM,NA,NA,2,Late Night,No,
40,Airport,NA,No Cars Available,11/7/2016 2:42,NA,11/7/2016,2:42:00 AM,NA,NA,2,Late Night,No,
41,City,109,Trip Completed,11/7/2016 2:47,11/7/2016 3:23,11/7/2016,2:47:00 AM,11/7/2016,3:23:00 AM,2,Late Night,Yes,
42,Airport,NA,No Cars Available,11/7/2016 2:55,NA,11/7/2016,2:55:00 AM,NA,NA,2,Late Night,No,
43,City,NA,No Cars Available,11/7/2016 3:06,NA,11/7/2016,3:06:00 AM,NA,NA,3,Late Night,No,
44,Airport,NA,No Cars Available,11/7/2016 3:07,NA,11/7/2016,3:07:00 AM,NA,NA,3,Late Night,No,
45,Airport,12,Trip Completed,11/7/2016 3:17,11/7/2016 4:09,11/7/2016,3:17:00 AM,11/7/2016,4:09:00 AM,3,Late Night,Yes,
46,Airport,NA,No Cars Available,11/7/2016 3:16,NA,11/7/2016,3:16:00 AM,NA,NA,3,Late Night,No,
47,City,124,Trip Completed,11/7/2016 3:22,11/7/2016 4:35,11/7/2016,3:22:00 AM,11/7/2016,4:35:00 AM,3,Late Night,Yes,
48,City,150,Trip Completed,11/7/2016 3:14,11/7/2016 4:19,11/7/2016,3:14:00 AM,11/7/2016,4:19:00 AM,3,Late Night,Yes,
49,Airport,NA,No Cars Available,11/7/2016 3:29,NA,11/7/2016,3:29:00 AM,NA,NA,3,Late Night,No,
50,City,100,Trip Completed,11/7/2016 3:22,11/7/2016 3:57,11/7/2016,3:22:00 AM,11/7/2016,3:57:00 AM,3,Late Night,Yes,
51,City,86,Trip Completed,11/7/2016 3:34,11/7/2016 4:33,11/7/2016,3:34:00 AM,11/7/2016,4:33:00 AM,3,Late Night,Yes,
52,City,NA,No Cars Available,11/7/2016 3:30,NA,11/7/2016,3:30:00 AM,NA,NA,3,Late Night,No,
53,Airport,95,Trip Completed,11/7/2016 3:30,11/7/2016 4:22,11/7/2016,3:30:00 AM,11/7/2016,4:22:00 AM,3,Late Night,Yes,
54,City,NA,No Cars Available,11/7/2016 3:34,NA,11/7/2016,3:34:00 AM,NA,NA,3,Late Night,No,
55,Airport,NA,No Cars Available,11/7/2016 3:41,NA,11/7/2016,3:41:00 AM,NA,NA,3,Late Night,No,
56,City,NA,No Cars Available,11/7/2016 3:58,NA,11/7/2016,3:58:00 AM,NA,NA,3,Late Night,No,
57,City,NA,No Cars Available,11/7/2016 3:52,NA,11/7/2016,3:52:00 AM,NA,NA,3,Late Night,No,
58,Airport,NA,No Cars Available,11/7/2016 4:03,NA,11/7/2016,4:03:00 AM,NA,NA,4,Late Night,No,
59,City,NA,No Cars Available,11/7/2016 3:58,NA,11/7/2016,3:58:00 AM,NA,NA,3,Late Night,No,
60,City,141,Trip Completed,11/7/2016 3:57,11/7/2016 4:46,11/7/2016,3:57:00 AM,11/7/2016,4:46:00 AM,3,Late Night,Yes,
61,Airport,NA,No Cars Available,11/7/2016 4:05,NA,11/7/2016,4:05:00 AM,NA,NA,4,Late Night,No,
62,Airport,NA,No Cars Available,11/7/2016 4:10,NA,11/7/2016,4:10:00 AM,NA,NA,4,Late Night,No,
63,Airport,NA,No Cars Available,11/7/2016 4:17,NA,11/7/2016,4:17:00 AM,NA,NA,4,Late Night,No,
64,City,52,Trip Completed,11/7/2016 4:16,11/7/2016 5:28,11/7/2016,4:16:00 AM,11/7/2016,5:28:00 AM,4,Late Night,Yes,
65,Airport,NA,No Cars Available,11/7/2016 4:23,NA,11/7/2016,4:23:00 AM,NA,NA,4,Late Night,No,
66,City,255,Trip Completed,11/7/2016 4:21,11/7/2016 4:54,11/7/2016,4:21:00 AM,11/7/2016,4:54:00 AM,4,Late Night,Yes,
67,Airport,NA,No Cars Available,11/7/2016 4:24,NA,11/7/2016,4:24:00 AM,NA,NA,4,Late Night,No,
68,Airport,NA,No Cars Available,11/7/2016 4:27,NA,11/7/2016,4:27:00 AM,NA,NA,4,Late Night,No,
69,Airport,NA,No Cars Available,11/7/2016 4:27,NA,11/7/2016,4:27:00 AM,NA,NA,4,Late Night,No,
70,City,80,Trip Completed,11/7/2016 4:34,11/7/2016 5:30,11/7/2016,4:34:00 AM,11/7/2016,5:30:00 AM,4,Late Night,Yes,
71,City,NA,No Cars Available,11/7/2016 4:37,NA,11/7/2016,4:37:00 AM,NA,NA,4,Late Night,No,
72,City,NA,No Cars Available,11/7/2016 4:36,NA,11/7/2016,4:36:00 AM,NA,NA,4,Late Night,No,
73,Airport,NA,No Cars Available,11/7/2016 4:36,NA,11/7/2016,4:36:00 AM,NA,NA,4,Late Night,No,
74,Airport,239,Trip Completed,11/7/2016 4:38,11/7/2016 5:44,11/7/2016,4:38:00 AM,11/7/2016,5:44:00 AM,4,Late Night,Yes,
75,Airport,NA,No Cars Available,11/7/2016 4:40,NA,11/7/2016,4:40:00 AM,NA,NA,4,Late Night,No,
76,City,158,Cancelled,11/7/2016 4:45,NA,11/7/2016,4:45:00 AM,NA,NA,4,Late Night,No,
77,City,171,Cancelled,11/7/2016 4:46,NA,11/7/2016,4:46:00 AM,NA,NA,4,Late Night,No,
78,City,NA,No Cars Available,11/7/2016 4:45,NA,11/7/2016,4:45:00 AM,NA,NA,4,Late Night,No,
79,City,NA,No Cars Available,11/7/2016 4:43,NA,11/7/2016,4:43:00 AM,NA,NA,4,Late Night,No,
80,City,3,Cancelled,11/7/2016 4:47,NA,11/7/2016,4:47:00 AM,NA,NA,4,Late Night,No,
81,Airport,73,Trip Completed,11/7/2016 4:47,11/7/2016 6:00,11/7/2016,4:47:00 AM,11/7/2016,6:00:00 AM,4,Late Night,Yes,
82,Airport,290,Trip Completed,11/7/2016 4:47,11/7/2016 5:23,11/7/2016,4:47:00 AM,11/7/2016,5:23:00 AM,4,Late Night,Yes,
83,City,NA,No Cars Available,11/7/2016 4:44,NA,11/7/2016,4:44:00 AM,NA,NA,4,Late Night,No,
84,City,28,Trip Completed,11/7/2016 4:50,11/7/2016 5:26,11/7/2016,4:50:00 AM,11/7/2016,5:26:00 AM,4,Late Night,Yes,
85,City,144,Cancelled,11/7/2016 4:47,NA,11/7/2016,4:47:00 AM,NA,NA,4,Late Night,No,
86,City,174,Cancelled,11/7/2016 4:51,NA,11/7/2016,4:51:00 AM,NA,NA,4,Late Night,No,
87,City,213,Trip Completed,11/7/2016 4:46,11/7/2016 5:26,11/7/2016,4:46:00 AM,11/7/2016,5:26:00 AM,4,Late Night,Yes,
88,Airport,76,Trip Completed,11/7/2016 4:54,11/7/2016 6:07,11/7/2016,4:54:00 AM,11/7/2016,6:07:00 AM,4,Late Night,Yes,
89,City,280,Trip Completed,11/7/2016 4:52,11/7/2016 5:51,11/7/2016,4:52:00 AM,11/7/2016,5:51:00 AM,4,Late Night,Yes,
90,Airport,126,Trip Completed,11/7/2016 4:53,11/7/2016 5:34,11/7/2016,4:53:00 AM,11/7/2016,5:34:00 AM,4,Late Night,Yes,
91,Airport,234,Trip Completed,11/7/2016 4:49,11/7/2016 5:39,11/7/2016,4:49:00 AM,11/7/2016,5:39:00 AM,4,Late Night,Yes,
92,City,16,Cancelled,11/7/2016 4:53,NA,11/7/2016,4:53:00 AM,NA,NA,4,Late Night,No,
93,City,69,Trip Completed,11/7/2016 4:53,11/7/2016 5:30,11/7/2016,4:53:00 AM,11/7/2016,5:30:00 AM,4,Late Night,Yes,
94,City,265,Trip Completed,11/7/2016 4:59,11/7/2016 5:58,11/7/2016,4:59:00 AM,11/7/2016,5:58:00 AM,4,Late Night,Yes,
95,Airport,270,Trip Completed,11/7/2016 4:54,11/7/2016 6:03,11/7/2016,4:54:00 AM,11/7/2016,6:03:00 AM,4,Late Night,Yes,
96,City,21,Cancelled,11/7/2016 4:58,NA,11/7/2016,4:58:00 AM,NA,NA,4,Late Night,No,
97,City,138,Trip Completed,11/7/2016 5:01,11/7/2016 5:39,11/7/2016,5:01:00 AM,11/7/2016,5:39:00 AM,5,Morning,Yes,
98,City,205,Cancelled,11/7/2016 4:58,NA,11/7/2016,4:58:00 AM,NA,NA,4,Late Night,No,
99,City,70,Cancelled,11/7/2016 5:00,NA,11/7/2016,5:00:00 AM,NA,NA,5,Morning,No,
100,City,256,Trip Completed,11/7/2016 5:00,11/7/2016 5:47,11/7/2016,5:00:00 AM,11/7/2016,5:47:00 AM,5,Morning,Yes,
101,Airport,99,Trip Completed,11/7/2016 5:08,11/7/2016 6:09,11/7/2016,5:08:00 AM,11/7/2016,6:09:00 AM,5,Morning,Yes,
102,Airport,100,Trip Completed,11/7/2016 5:01,11/7/2016 5:38,11/7/2016,5:01:00 AM,11/7/2016,5:38:00 AM,5,Morning,Yes,
103,City,NA,No Cars Available,11/7/2016 5:02,NA,11/7/2016,5:02:00 AM,NA,NA,5,Morning,No,
104,City,NA,No Cars Available,11/7/2016 5:00,NA,11/7/2016,5:00:00 AM,NA,NA,5,Morning,No,
105,City,182,Cancelled,11/7/2016 4:58,NA,11/7/2016,4:58:00 AM,NA,NA,4,Late Night,No,
106,City,194,Trip Completed,11/7/2016 5:06,11/7/2016 5:38,11/7/2016,5:06:00 AM,11/7/2016,5:38:00 AM,5,Morning,Yes,
107,City,215,Cancelled,11/7/2016 5:02,NA,11/7/2016,5:02:00 AM,NA,NA,5,Morning,No,
108,City,248,Cancelled,11/7/2016 5:09,NA,11/7/2016,5:09:00 AM,NA,NA,5,Morning,No,
109,City,284,Cancelled,11/7/2016 5:01,NA,11/7/2016,5:01:00 AM,NA,NA,5,Morning,No,
110,City,22,Trip Completed,11/7/2016 5:05,11/7/2016 6:06,11/7/2016,5:05:00 AM,11/7/2016,6:06:00 AM,5,Morning,Yes,
111,City,62,Cancelled,11/7/2016 5:06,NA,11/7/2016,5:06:00 AM,NA,NA,5,Morning,No,
112,Airport,116,Trip Completed,11/7/2016 5:01,11/7/2016 6:04,11/7/2016,5:01:00 AM,11/7/2016,6:04:00 AM,5,Morning,Yes,
113,City,185,Cancelled,11/7/2016 5:09,NA,11/7/2016,5:09:00 AM,NA,NA,5,Morning,No,
114,City,217,Trip Completed,11/7/2016 5:10,11/7/2016 5:40,11/7/2016,5:10:00 AM,11/7/2016,5:40:00 AM,5,Morning,Yes,
115,City,244,Cancelled,11/7/2016 5:14,NA,11/7/2016,5:14:00 AM,NA,NA,5,Morning,No,
116,Airport,286,Trip Completed,11/7/2016 5:07,11/7/2016 5:53,11/7/2016,5:07:00 AM,11/7/2016,5:53:00 AM,5,Morning,Yes,
117,City,NA,No Cars Available,11/7/2016 5:13,NA,11/7/2016,5:13:00 AM,NA,NA,5,Morning,No,
118,Airport,44,Trip Completed,11/7/2016 5:11,11/7/2016 5:52,11/7/2016,5:11:00 AM,11/7/2016,5:52:00 AM,5,Morning,Yes,
119,City,204,Cancelled,11/7/2016 5:10,NA,11/7/2016,5:10:00 AM,NA,NA,5,Morning,No,
120,City,268,Cancelled,11/7/2016 5:04,NA,11/7/2016,5:04:00 AM,NA,NA,5,Morning,No,
121,Airport,63,Trip Completed,11/7/2016 5:13,11/7/2016 6:08,11/7/2016,5:13:00 AM,11/7/2016,6:08:00 AM,5,Morning,Yes,
122,City,124,Cancelled,11/7/2016 5:14,NA,11/7/2016,5:14:00 AM,NA,NA,5,Morning,No,
123,City,130,Trip Completed,11/7/2016 5:12,11/7/2016 6:14,11/7/2016,5:12:00 AM,11/7/2016,6:14:00 AM,5,Morning,Yes,
124,City,NA,No Cars Available,11/7/2016 5:12,NA,11/7/2016,5:12:00 AM,NA,NA,5,Morning,No,
125,City,38,Trip Completed,11/7/2016 5:12,11/7/2016 6:17,11/7/2016,5:12:00 AM,11/7/2016,6:17:00 AM,5,Morning,Yes,
126,City,40,Cancelled,11/7/2016 5:05,NA,11/7/2016,5:05:00 AM,NA,NA,5,Morning,No,
127,City,173,Cancelled,11/7/2016 5:10,NA,11/7/2016,5:10:00 AM,NA,NA,5,Morning,No,
128,City,43,Trip Completed,11/7/2016 5:12,11/7/2016 5:48,11/7/2016,5:12:00 AM,11/7/2016,5:48:00 AM,5,Morning,Yes,
129,City,189,Cancelled,11/7/2016 5:10,NA,11/7/2016,5:10:00 AM,NA,NA,5,Morning,No,
130,City,206,Cancelled,11/7/2016 5:12,NA,11/7/2016,5:12:00 AM,NA,NA,5,Morning,No,
131,City,NA,No Cars Available,11/7/2016 5:10,NA,11/7/2016,5:10:00 AM,NA,NA,5,Morning,No,
132,City,21,Cancelled,11/7/2016 5:15,NA,11/7/2016,5:15:00 AM,NA,NA,5,Morning,No,
133,City,247,Cancelled,11/7/2016 5:14,NA,11/7/2016,5:14:00 AM,NA,NA,5,Morning,No,
134,Airport,121,Trip Completed,11/7/2016 5:13,11/7/2016 6:14,11/7/2016,5:13:00 AM,11/7/2016,6:14:00 AM,5,Morning,Yes,
135,City,NA,No Cars Available,11/7/2016 5:20,NA,11/7/2016,5:20:00 AM,NA,NA,5,Morning,No,
136,City,NA,No Cars Available,11/7/2016 5:19,NA,11/7/2016,5:19:00 AM,NA,NA,5,Morning,No,
137,City,NA,No Cars Available,11/7/2016 5:17,NA,11/7/2016,5:17:00 AM,NA,NA,5,Morning,No,
138,City,NA,No Cars Available,11/7/2016 5:20,NA,11/7/2016,5:20:00 AM,NA,NA,5,Morning,No,
139,Airport,14,Trip Completed,11/7/2016 5:21,11/7/2016 6:09,11/7/2016,5:21:00 AM,11/7/2016,6:09:00 AM,5,Morning,Yes,
140,City,279,Cancelled,11/7/2016 5:17,NA,11/7/2016,5:17:00 AM,NA,NA,5,Morning,No,
141,City,49,Cancelled,11/7/2016 5:20,NA,11/7/2016,5:20:00 AM,NA,NA,5,Morning,No,
142,City,134,Trip Completed,11/7/2016 5:25,11/7/2016 6:19,11/7/2016,5:25:00 AM,11/7/2016,6:19:00 AM,5,Morning,Yes,
143,Airport,157,Trip Completed,11/7/2016 5:24,11/7/2016 6:01,11/7/2016,5:24:00 AM,11/7/2016,6:01:00 AM,5,Morning,Yes,
144,City,291,Cancelled,11/7/2016 5:24,NA,11/7/2016,5:24:00 AM,NA,NA,5,Morning,No,
145,City,33,Trip Completed,11/7/2016 5:32,11/7/2016 6:37,11/7/2016,5:32:00 AM,11/7/2016,6:37:00 AM,5,Morning,Yes,
146,Airport,191,Trip Completed,11/7/2016 5:29,11/7/2016 6:08,11/7/2016,5:29:00 AM,11/7/2016,6:08:00 AM,5,Morning,Yes,
147,City,267,Cancelled,11/7/2016 5:26,NA,11/7/2016,5:26:00 AM,NA,NA,5,Morning,No,
148,Airport,105,Trip Completed,11/7/2016 5:36,11/7/2016 6:46,11/7/2016,5:36:00 AM,11/7/2016,6:46:00 AM,5,Morning,Yes,
149,City,111,Cancelled,11/7/2016 5:29,NA,11/7/2016,5:29:00 AM,NA,NA,5,Morning,No,
150,City,9,Cancelled,11/7/2016 5:24,NA,11/7/2016,5:24:00 AM,NA,NA,5,Morning,No,
151,City,290,Cancelled,11/7/2016 5:27,NA,11/7/2016,5:27:00 AM,NA,NA,5,Morning,No,
152,City,294,Trip Completed,11/7/2016 5:29,11/7/2016 6:16,11/7/2016,5:29:00 AM,11/7/2016,6:16:00 AM,5,Morning,Yes,
153,City,NA,No Cars Available,11/7/2016 5:33,NA,11/7/2016,5:33:00 AM,NA,NA,5,Morning,No,
154,City,NA,No Cars Available,11/7/2016 5:31,NA,11/7/2016,5:31:00 AM,NA,NA,5,Morning,No,
155,City,13,Trip Completed,11/7/2016 5:32,11/7/2016 6:28,11/7/2016,5:32:00 AM,11/7/2016,6:28:00 AM,5,Morning,Yes,
156,Airport,96,Trip Completed,11/7/2016 5:35,11/7/2016 6:40,11/7/2016,5:35:00 AM,11/7/2016,6:40:00 AM,5,Morning,Yes,
157,City,226,Cancelled,11/7/2016 5:38,NA,11/7/2016,5:38:00 AM,NA,NA,5,Morning,No,
158,City,289,Trip Completed,11/7/2016 5:35,11/7/2016 6:41,11/7/2016,5:35:00 AM,11/7/2016,6:41:00 AM,5,Morning,Yes,
159,City,NA,No Cars Available,11/7/2016 5:43,NA,11/7/2016,5:43:00 AM,NA,NA,5,Morning,No,
160,Airport,72,Trip Completed,11/7/2016 5:38,11/7/2016 6:34,11/7/2016,5:38:00 AM,11/7/2016,6:34:00 AM,5,Morning,Yes,
161,Airport,107,Trip Completed,11/7/2016 5:36,11/7/2016 6:10,11/7/2016,5:36:00 AM,11/7/2016,6:10:00 AM,5,Morning,Yes,
162,City,70,Cancelled,11/7/2016 5:34,NA,11/7/2016,5:34:00 AM,NA,NA,5,Morning,No,
163,City,161,Trip Completed,11/7/2016 5:35,11/7/2016 6:49,11/7/2016,5:35:00 AM,11/7/2016,6:49:00 AM,5,Morning,Yes,
164,City,137,Cancelled,11/7/2016 5:40,NA,11/7/2016,5:40:00 AM,NA,NA,5,Morning,No,
165,Airport,199,Trip Completed,11/7/2016 5:39,11/7/2016 6:11,11/7/2016,5:39:00 AM,11/7/2016,6:11:00 AM,5,Morning,Yes,
166,City,269,Cancelled,11/7/2016 5:41,NA,11/7/2016,5:41:00 AM,NA,NA,5,Morning,No,
167,City,NA,No Cars Available,11/7/2016 5:40,NA,11/7/2016,5:40:00 AM,NA,NA,5,Morning,No,
168,City,62,Cancelled,11/7/2016 5:37,NA,11/7/2016,5:37:00 AM,NA,NA,5,Morning,No,
169,City,184,Trip Completed,11/7/2016 5:45,11/7/2016 6:48,11/7/2016,5:45:00 AM,11/7/2016,6:48:00 AM,5,Morning,Yes,
170,City,113,Trip Completed,11/7/2016 5:45,11/7/2016 6:39,11/7/2016,5:45:00 AM,11/7/2016,6:39:00 AM,5,Morning,Yes,
171,City,NA,No Cars Available,11/7/2016 5:39,NA,11/7/2016,5:39:00 AM,NA,NA,5,Morning,No,
172,Airport,59,Trip Completed,11/7/2016 5:41,11/7/2016 6:19,11/7/2016,5:41:00 AM,11/7/2016,6:19:00 AM,5,Morning,Yes,
173,City,188,Trip Completed,11/7/2016 5:45,11/7/2016 6:30,11/7/2016,5:45:00 AM,11/7/2016,6:30:00 AM,5,Morning,Yes,
174,Airport,119,Cancelled,11/7/2016 5:44,NA,11/7/2016,5:44:00 AM,NA,NA,5,Morning,No,
175,City,160,Cancelled,11/7/2016 5:45,NA,11/7/2016,5:45:00 AM,NA,NA,5,Morning,No,
176,City,67,Cancelled,11/7/2016 5:42,NA,11/7/2016,5:42:00 AM,NA,NA,5,Morning,No,
177,City,169,Cancelled,11/7/2016 5:48,NA,11/7/2016,5:48:00 AM,NA,NA,5,Morning,No,
178,City,NA,No Cars Available,11/7/2016 5:47,NA,11/7/2016,5:47:00 AM,NA,NA,5,Morning,No,
179,City,NA,No Cars Available,11/7/2016 5:49,NA,11/7/2016,5:49:00 AM,NA,NA,5,Morning,No,
180,Airport,112,Trip Completed,11/7/2016 5:48,11/7/2016 6:28,11/7/2016,5:48:00 AM,11/7/2016,6:28:00 AM,5,Morning,Yes,
181,City,159,Cancelled,11/7/2016 5:46,NA,11/7/2016,5:46:00 AM,NA,NA,5,Morning,No,
182,Airport,225,Trip Completed,11/7/2016 5:46,11/7/2016 6:58,11/7/2016,5:46:00 AM,11/7/2016,6:58:00 AM,5,Morning,Yes,
183,City,252,Trip Completed,11/7/2016 5:49,11/7/2016 6:29,11/7/2016,5:49:00 AM,11/7/2016,6:29:00 AM,5,Morning,Yes,
184,City,292,Cancelled,11/7/2016 5:49,NA,11/7/2016,5:49:00 AM,NA,NA,5,Morning,No,
185,City,236,Cancelled,11/7/2016 5:43,NA,11/7/2016,5:43:00 AM,NA,NA,5,Morning,No,
186,City,288,Cancelled,11/7/2016 5:48,NA,11/7/2016,5:48:00 AM,NA,NA,5,Morning,No,
187,City,62,Cancelled,11/7/2016 5:57,NA,11/7/2016,5:57:00 AM,NA,NA,5,Morning,No,
188,City,114,Cancelled,11/7/2016 5:54,NA,11/7/2016,5:54:00 AM,NA,NA,5,Morning,No,
189,City,NA,No Cars Available,11/7/2016 5:58,NA,11/7/2016,5:58:00 AM,NA,NA,5,Morning,No,
190,City,NA,No Cars Available,11/7/2016 5:53,NA,11/7/2016,5:53:00 AM,NA,NA,5,Morning,No,
191,Airport,37,Trip Completed,11/7/2016 5:55,11/7/2016 6:45,11/7/2016,5:55:00 AM,11/7/2016,6:45:00 AM,5,Morning,Yes,
192,City,202,Cancelled,11/7/2016 5:56,NA,11/7/2016,5:56:00 AM,NA,NA,5,Morning,No,
193,City,213,Cancelled,11/7/2016 5:58,NA,11/7/2016,5:58:00 AM,NA,NA,5,Morning,No,
194,City,NA,No Cars Available,11/7/2016 6:05,NA,11/7/2016,6:05:00 AM,NA,NA,6,Morning,No,
195,City,297,Trip Completed,11/7/2016 6:05,11/7/2016 6:52,11/7/2016,6:05:00 AM,11/7/2016,6:52:00 AM,6,Morning,Yes,
196,Airport,24,Cancelled,11/7/2016 6:07,NA,11/7/2016,6:07:00 AM,NA,NA,6,Morning,No,
197,City,202,Trip Completed,11/7/2016 6:00,11/7/2016 6:49,11/7/2016,6:00:00 AM,11/7/2016,6:49:00 AM,6,Morning,Yes,
198,Airport,249,Trip Completed,11/7/2016 6:03,11/7/2016 6:44,11/7/2016,6:03:00 AM,11/7/2016,6:44:00 AM,6,Morning,Yes,
199,City,NA,No Cars Available,11/7/2016 6:07,NA,11/7/2016,6:07:00 AM,NA,NA,6,Morning,No,
200,City,36,Cancelled,11/7/2016 6:10,NA,11/7/2016,6:10:00 AM,NA,NA,6,Morning,No,
201,City,76,Trip Completed,11/7/2016 6:09,11/7/2016 7:20,11/7/2016,6:09:00 AM,11/7/2016,7:20:00 AM,6,Morning,Yes,
202,City,94,Cancelled,11/7/2016 6:09,NA,11/7/2016,6:09:00 AM,NA,NA,6,Morning,No,
203,City,NA,No Cars Available,11/7/2016 6:07,NA,11/7/2016,6:07:00 AM,NA,NA,6,Morning,No,
204,City,27,Trip Completed,11/7/2016 6:04,11/7/2016 6:44,11/7/2016,6:04:00 AM,11/7/2016,6:44:00 AM,6,Morning,Yes,
205,Airport,230,Trip Completed,11/7/2016 6:10,11/7/2016 7:10,11/7/2016,6:10:00 AM,11/7/2016,7:10:00 AM,6,Morning,Yes,
206,City,232,Trip Completed,11/7/2016 6:07,11/7/2016 6:37,11/7/2016,6:07:00 AM,11/7/2016,6:37:00 AM,6,Morning,Yes,
